factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factory_location_in_city,factory_location_in_town,year_of_establishment,factory_status
"Comfit Composite Knit Ltd.",Knit,5,2845,850,1800000,"T-Shirts ,Polo Shirts ,Child Wears ,Tank Tops","Gorai, Tangail, Mirzapur",Tangail,Mirzapur,2006,Clean
"Comfort Apparels (Pvt.) Ltd.",Knit,5,313,155,568000,"Shirts ,Jackets ,Pants ,Shorts","96, Darus Salam Road, Dhaka, Mirpur",Dhaka,Mirpur,1994,Clean
"Comfort Knit Fashion Ltd.",Knit,5,181,70,50000,"Shirts ,Pants ,T-Shirts","96, Darus Salam Road, Dhaka, Mirpur",Dhaka,Mirpur,1998,Clean
"Comfort Socks Ltd.",Knit,5,45,21,180000,Socks,"Plot # 106, 108, Satpoa, Gazipur, Pubail",Gazipur,Pubail,2004,Clean
"Comilla Fashions Ltd.",Woven,5,400,160,78000,"Shirts ,Ladies Shirts ,Boy's Shirts","Hazi A Rahman Super Market (4th Fl), Shimrail, Sanarpar, Narayanganj, Siddirganj",Narayanganj,Shiddirganj,2009,Clean
"Commitment Apparels Ltd.",Woven,5,250,98,36000,"Shirts ,Ladies Shirts ,Trousers","Mohakhali, Dhaka, Mohakhali",Dhaka,Mohakhali,2000,Clean
"Common Threads Ltd.",Woven,5,1332,700,1000000,"Shirts ,Pants ,Shorts","118, Sher-E-Bangla Road, Hazaribagh, Dhaka, Old Dhaka",Dhaka,"Old Dhaka",2003,Clean
"Comptex Bangladesh Ltd.",Knit,5,1031,0,1152000,"Knit Items","Vulta, Narayanganj, Rupganj",Narayanganj,Rupganj,2003,Clean
"Concept Knitting Ltd.",Knit,5,1236,422,6720000,"T-Shirts ,Polo Shirts ,Tank Top","Tilargati, Sataish Bazar, Gazipur, Tongi",Gazipur,Tongi,2007,Clean
"Concord Creations Ltd.",Woven,5,230,200,50000,"Shirts ,Pants ,Trousers","640, United Commercial Complex, Hossain Market, Gazipur, Tongi",Gazipur,Tongi,2012,Clean
"Concord Fashion Export Ltd.",Woven,5,410,109,150000,"Shirts ,Jackets ,Pants ,Shorts","South Shalna, Gazipur, Joydevpur",Gazipur,Joydebpur,1992,Clean
"Concord Raiment Wear Ltd.",Woven,5,610,390,150000,"Shirts ,Pants","640,United Shopping Complex (2nd Floor), Hossain Market, Gazipur, Gazipur",Gazipur,Gazipur,2013,Clean
"Concorde Garments Ltd.",Woven,5,850,252,200000,"Shirts ,Blouses ,Children Wears","Plot # M/3, Road # 5, Section # 7, Dhaka, Mirpur",Dhaka,Mirpur,1982,Clean
"Concordia Pacific Garments Ltd.",Woven,5,140,106,30000,"Shirts ,Pants","Jazor, National University, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",2014,Clean
"Connect Fashions Ltd.",Woven,5,150,140,40000,"Jackets ,Trousers ,Skirts ,Vest","Ka-11/5, Jagannathpur, Progati Sarani, Bashundhara, Dhaka, Baridhara",Dhaka,Baridhara,2002,Clean
"Consort Garments Ltd.",Woven,5,400,303,5833,"Jackets ,T-Shirts ,Jogging Suits","539, Reazuddin Road, Chittagong, Reazuddin Road",Chittagong,"Reazuddin Road",1985,Clean
"Consumer Knitex Ltd.",Knit,5,1000,336,0,"T-Shirts ,Polo Shirts ,Underwears","158, Shantinagar, Dhaka, Shantinagar",Dhaka,Shantinagar,2007,Anomaly
"Consumer Products Limited",Woven,5,1000,750,120000,"Jackets ,Trousers ,Shorts ,Overalls","158, Dhaka, Shantinagar",Dhaka,Shantinagar,1984,Clean
"Continental Apparels Ltd.",Woven,5,1207,691,200000,"Shirts ,Ladies Blouses","145, Monipuripara, Airport Road, Dhaka, Tejgaon",Dhaka,Tejgaon,1985,Clean
"Continental Garments Industries (Pvt.) Limited",Woven,5,2100,1355,350000,"Shirts ,Dress ,Trouser ,Blouses","8, Dewan Idris Road, Boro Rangamatia, Ashulia, Savar, Dhaka, Dhaka, Dhaka",Dhaka,Dhaka,1985,Clean
"Core Spun Apparels Ltd.",Woven,5,656,226,150000,"Shirts ,Pants","189/A, Tejgaon I/A, Dhaka, Tejgaon",Dhaka,Tejgaon,2012,Clean
"Corona Fashion Ltd.",Woven,5,600,315,120000,"Jackets ,Pajama Sets ,Pants ,Shorts","Ka-220/12, Khilkhet, Namapara, Dhaka","Ka-220/12, Khilkhet, Namapara",Dhaka,2003,Clean
"Cosmic Sweaters Ltd.",Sweater,5,1360,520,92000,"Bouses ,Pullovers ,Cardigans ,Pancho","Dagerchala, National University, Gazipur, Board Bazar",Gazipur,"Board Bazar",2001,Clean
"Cosmo Sweaters Ltd.",Sweater,5,540,460,72000,Sweaters,"Mahona Bhabanipur, Member Bari, Gazipur","Mahona Bhabanipur, Member Bari",Gazipur,2003,Clean
"Cosmopolitan Apparels Ltd.",Woven,1,0,195,0,,"Sarabo, Kashimpur, Gazipur, Gazipur, Gazipur",Gazipur,Gazipur,2021,Anomaly
"Cosmopolitan Inds. (Pvt.) Ltd.",Woven,5,4744,2380,575000,"Pants ,Shorts","Khejur Bagan, Bara Ashulia, Dhaka, Savar",Dhaka,Savar,2006,Clean
"Cosmos Sweaters Ltd.",Sweater,5,2200,1004,16000,"Sweaters ,Cardigans ,Pullovers ,Vest","Dhaka Road, Chandana Chowrasta, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",2001,Clean
